oid,main_id,st_ids,ra,dec,ra_err,dec_err,coo_err_angle,coo_qual,coo_reflink,sy_pmra,sy_pmdec,sy_pmraerr1,sy_pmraerr2,sy_pmdecerr2,sy_pmdecerr1,sy_pm_err_angle,sy_pm_qual,sy_pm_reflink,sy_plxerr2,sy_plx,sy_plxerr1,sy_plx_qual,radverr2,sy_plx_reflink,st_radv,radverr1,st_radv_bibcode,st_otype,st_otypes,spectype,spectype_reflink,sy_ujmag,sy_bmag,sy_vmag,G,sy_rcmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_gaiamagerr2,sy_jmagerr2,sy_hmagerr2,sy_kmagerr2,sy_bmagerr2,sy_vmagerr2,sy_ujmagerr2,sy_rcmagerr2,sy_icmagerr2,sy_rmag,sy_imag,sy_zmag,sy_gaiamagerr1,sy_jmagerr1,sy_hmagerr1,sy_kmagerr1,sy_bmagerr1,sy_vmagerr1,sy_ujmagerr1,sy_rcmagerr1,sy_icmagerr1,st_psfgrade,hd_id,hip_id,sy_plxh2err2,hr_id,sy_plxg3err2,wds_id,tic_id,sbc9_id,gaiadr3_id,gaiadr2_id,sy_ruwe2015.5,sy_dvtk19,sy_dvtk19err,sy_dvtpak19,sy_dvtpak19err,sy_plxh2,sy_plxh2err1,sy_plxg3,sy_plxg3err1,sy_snrpmahg1,sy_binhg1,sy_pmrah2g2,sy_pmrah2g2err,sy_pmdeh2g2,sy_pmdeh2g2err,sy_pmarah2g2,sy_pmarah2g2err,sy_pmadeh2g2,sy_pmadeh2g2err,sy_snrpmah2g2,sy_binh2g2,sy_pmrah2eg3a,sy_pmrah2eg3aerr,sy_pmdeh2eg3a,sy_pmarah2eg3a,sy_pmarah2eg3aerr,sy_pmadeh2eg3a,sy_pmadeh2eg3aerr,sy_snrpmah2eg3a,sy_binh2eg3a,sy_pmrah2eg3b,sy_pmrah2eg3berr,sy_pmdeh2eg3b,sy_pmdeh2eg3berr,st_ldderr2,sy_pmarah2eg3b,sy_pmarah2eg3berr,sy_pmadeh2eg3b,sy_pmadeh2eg3berr,sy_snrpmaH2eg3b,sy_binh2eg3b,sy_dvtk22,sy_dvtk22err,sy_dvtpak22,sy_dvtpak22err,st_uddmeaserr2,st_k22m1,st_k22M1err,st_lddmeaserr2,st_k22m1_reflink,st_ldd,st_ldderr1,ra2016err2,st_lddchi,dec2016err2,st_uddb,pmra2016err2,st_uddv,pmdec2016err2,st_uddr,sy_plx2016err2,st_uddi,st_radv2016err2,st_uddj,st_uddh,st_uddk,ra2015.5err2,st_uddmeas,dec2015.5err2,st_lddmeas,pmra2015.5err2,st_uddmeaserr1,pmdec2015.5err2,st_uddmeasband,sy_plx2015.5err2,st_uddmeasreflink,st_radv2015.5err2,st_lddmeaserr1,st_lddmeasband,st_gprpolfracerr2,st_lddmeasreflink,st_gprpolpaerr2,ra2016,ra2016err1,dec2016,st_rpolfracerr2,dec2016err1,st_rpolpaerr2,pmra2016,pmra2016err1,st_upolfracerr2,pmdec2016,st_upolpaerr2,pmdec2016err1,sy_plx2016,st_bpolfracerr2,sy_plx2016err1,st_bpolpaerr2,st_radv2016,st_radv2016err1,st_vpolfracerr2,sy_gaiadr3mag,st_vpolpaerr2,sy_ruwe2016,ra2015.5,st_unkpolfracerr2,ra2015.5err1,st_unkpolpaerr2,dec2015.5,dec2015.5err1,pmra2015.5,pmra2015.5err1,pmdec2015.5,pmdec2015.5err1,sy_plx2015.5,sy_plx2015.5err1,st_radv2015.5,st_radv2015.5err1,sy_gaiamag,st_gprpolfrac,st_gprpolfracerr1,st_gprpolpa,st_gprpolpaerr1,st_gprpolfrac_reflink,st_polcatalog,st_rpolfrac,st_rpolfracerr1,st_rpolpa,st_rpolpaerr1,st_rpolfrac_reflink,st_upolfrac,st_upolfracerr1,st_upolpa,st_upolpaerr1,st_upolfrac_reflink,st_bpolfrac,st_bpolfracerr1,st_bpolpa,st_bpolpaerr1,st_bpolfrac_reflink,st_vpolfrac,st_vpolfracerr1,st_vpolpa,st_vpolpaerr1,st_vpolfrac_reflink,st_unkpolfrac,st_unkpolfracerr1,st_unkpolpa,st_unkpolpaerr1,st_unkpolfrac_reflink,sy_caltype,sy_excampass
219505,* alf Cep,CNS5 5253|GJ 826|Gaia DR3 2193192137376175488|TIC 417604820|*   5 Cep|PLX 5139|LSPM J2118+6235|ASCC  144910|2MASS J21183475+6235081|* alf Cep|AAVSO 2116+62|ADS 14858 A|AG+62 1226|BD+61  2111|CCDM J21186+6236A|CEL   5294|CSI+61  2111  1|FK5  803|GC 29848|GCRV 13408|HD 203280|HIC 105199|HIP 105199|HR  8162|IDS 21162+6210 A|IRC +60310|JP11  3335|N30 4712|NAME Alderamin|NSV 13660|PMC 90-93   563|PPM  22755|ROT  3108|SAO  19302|SKY# 40575|TD1 27973|UBV   18421|UBV M  25623|[HFE83] 1431|USNO-B1.0 1525-00356034|PLX 5139.00|WDS J21186+6235A|AKARI-IRC-V1 J2118349+623508|IRAS 21174+6222|uvby98 100203280|TYC 4252-1870-1|WEB 19106|1RXS J211837.1+623513|GEN# +1.00203280|** BU 1502A,319.6448847,62.58557446,0.7926262,0.7926262,90,A,2007A&A...474..653V,150.55,49.09,0.09,0.09,0.09,0.09,0,A,2007A&A...474..653V,0.11,66.5,0.11,A,1.1,2007A&A...474..653V,-15.8,1.1,2006AstL...32..759G,PM*,*|**|IR|NIR|PM*|UV|V*|X,A8Vn,2003AJ....126.2048G,2.769999981,2.680000067,2.460000038,2.428270102,2.220000029,2.109999895,2.150000095,2.134000063,2.069999933,,,0.004577,0.3,0.176,0.24,0.007,0.009,0.01,,,,,,0.004577,0.3,0.176,0.24,0.007,0.009,0.01,,,B,203280,105199,0.11,8162,,J21186+6235A,417604820,,Gaia DR3 2193192137376175488,,,,,,,66.5,0.11,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.143804,,,,,,,,,,,,,,0.095,,1.432058,0.143804,0.35575563,0.00682415,0.5164802,1.342073,,1.358725,,1.372404,,1.386765,,1.406063,1.406063,1.409534,,,,1.577,,,,,,,,0.095,13-Aug,,2014ApJ...797..119M,,319.6463369,0.35575563,62.58579605,,0.5164802,,,,,,,,,,,,,,,2.428267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3364286,* gam TrA,HIP 74946|Gaia DR3 5823248090239625088|TIC 262834160|PLX 3443|* gam TrA|CD-68  1503|CPC 21.1  2882|CPD-68  2383|CSV 102765|FK5  560|GC 20538|GCRV  8837|GEN# +1.00135382|GSC 09259-04905|HD 135382|HIC  74946|HR  5671|IRAS 15142-6829|N30 3438|NSV  7008|PPM 361338|ROT  5700|SAO 253097|SKY# 27734|TD1 18065|TYC 9259-4905-1|UBV   13149|UBV M  20645|uvby98 100135382|2MASS J15185460-6840462|PLX 3443.00|Renson 38430|WEB 12786|Gaia DR2 5823248090236270976,229.727422,-68.67954667,0.226,0.2164,90,A,2020yCat.1350....0G,-65.816,-31.187,0.272,0.272,0.276,0.276,90,A,2020yCat.1350....0G,0.3327,17.1809,0.3327,A,2.4,2020yCat.1350....0G,-3.6,2.4,2006AstL...32..759G,PM*,*|IR|NIR|PM*|UV|V*,A1V,,2.869999886,2.890000105,2.890000105,2.882309914,,,2.839999914,2.75999999,2.74000001,,,0.003794,,,,,,,,,,,,0.003794,,,,,,,,,B,135382,74946,0.12,5671,0.382,,262834160,,Gaia DR3 5823248090239625088,Gaia DR2 5823248090236270976,1.368,954.45,425.42,34.36,18.32,17.74,0.12,17.206,0.382,,,-66.214,0.023,-31.758,0.023,1.878,1.081,2.747,1.015,2.24,0,-66.239,0.009,0.009,-0.341,0.081,-0.618,0.11,5.17,1,-66.239,0.009,-31.692,0.009,0.100873,0.462,0.272,0.497,0.276,1.75,0,186.95,106.83,42.88,24.93,,3.34,0.17,,G00,1.058794,0.100873,0.22602038,0.0467187,0.21644284,1.006136,0.27238232,1.01367,0.27612785,1.024426,0.3326979,1.032501,,1.040468,1.044943,1.046926,0.505595132,,0.506879963,,1.000417276,,0.939349499,,0.729467884,,,,,,,,229.7266175,0.22602038,-68.67968528,0.00041,0.21644284,4,-65.8156164,0.27238232,,-31.18662112,,0.27612785,17.18088396,,0.3326979,,,,,2.882312,,2.8179295,229.7266433,,0.505595132,,-68.67968133,0.506879963,-64.21703222,1.000417276,-29.01992086,0.939349499,16.49627232,0.729467884,,,2.6926396,,,,,,2025ApJS..276...15P,0.00296,0.00041,-41.8,4,2016MNRAS.455.1607C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3284094,* del Cru,HIP 59747|Gaia DR3 6071060144089351808|LLNS  7684|TIC 390320354|PLX 2819.1|* del Cru|CD-58  4466|CEL   4076|CPC 20  3748|CPD-58  4189|CSV   6902|FK5  455|GC 16724|GCRV  7332|GEN# +1.00106490|GSC 08645-02263|HD 106490|HIC  59747|HR  4656|IRAS 12124-5828|JP11  2192|N30 2833|NSV  5510|PPM 340824|ROT  1792|SACS 266|SAO 239791|SKY# 22977|TD1 16155|TYC 8645-2263-1|UBV   11000|UBV M  17943|V* del Cru|[B10]  3187|2MASS J12150870-5844559|ALS 14966|PLX 2819.10|uvby98 100106490|WEB 10614|Gaia DR2 6071060144084204032|NAME Imai,183.786327,-58.74892408,0.3913,0.4192,90,A,2020yCat.1350....0G,-36.951,-11.296,0.484,0.484,0.476,0.476,90,A,2020yCat.1350....0G,0.7145,7.1681,0.7145,A,2,2020yCat.1350....0G,22.2,2,1979IAUS...30...57E,Pu*,*|IR|NIR|Pu*|UV|V*|bC*|bC?,B2IV,1975MSS...C01....0H,1.629999995,2.568000078,2.752000093,2.773010015,,,3.328000069,3.440000057,3.532000065,,,0.005958,0.246,0.212,0.182,0.014,0.009,,,,,,,0.005958,0.246,0.212,0.182,0.014,0.009,,,,C,106490,59747,0.15,4656,0.82,,390320354,,Gaia DR3 6071060144089351808,Gaia DR2 6071060144084204032,2.362,617.57,739.25,301.41,41.77,9.45,0.15,7.187,0.82,,,-36.057,0.034,-10.654,0.029,-1.296,1.332,0.791,1.237,0.84,0,-35.996,0.016,0.017000001,0.186,0.121,0.19,0.121,1.55,0,-35.996,0.016,-10.55,0.017,0.037115,-0.932,0.484,-0.778,0.476,1.79,0,800.67,448.03,230.12,23.23,,5.95,0.3,,G00,0.419317,0.037115,0.39131102,0.0185545,0.4191956,0.406723,0.48404866,0.408483,0.47647175,0.410698,0.7145218,0.412405,,0.414426,0.415446,0.41607,0.767430928,,0.643701375,,1.232042367,,1.144489872,,0.956279578,,,,,,,,183.7860104,0.39131102,-58.74897428,,0.4191956,,-36.95082954,0.48404866,,-11.29613041,,0.47647175,7.168087772,,0.7145218,,,,,2.7730124,,4.658477,183.7860193,0.035,0.767430928,41.2,-58.74897352,0.643701375,-37.29213462,1.232042367,-9.971114636,1.144489872,11.62433492,0.956279578,,,2.7006555,,,,,,2000AJ....119..923H,,,,,,,,,,,,,,,,,,,,,0.02,0.035,57.2,41.2,1970MmRAS..74..139M,RefStar,TRUE
3192543,* bet Car,GJ 9292|GJ 339.2|HIP 45238|TIC 290374453|PLX 2213|* bet Car|CD-69   600|CEL   3237|CPC 21.1  1479|CPD-69  1023|FK5  348|GC 12764|GCRV  6042|GEN# +1.00080007|HD  80007|HIC  45238|HR  3685|IRAS 09126-6930|JP11  1790|N30 2196|NLTT 21307|PPM 357200|ROT  1459|SAO 250495|SKY# 17778|TD1 13760|UBV    8872|UBV M  15259|uvby98 100080007|2MASS J09131197-6943017|PLX 2213.00|TYC 9200-2603-1|NAME Miaplacidus|WEB  8622,138.2999061,-69.7172076,1.2299289,0.9676809,90,A,2007A&A...474..653V,-156.47,108.95,0.14,0.14,0.11,0.11,0,A,2007A&A...474..653V,0.11,28.82,0.11,A,2.3,2007A&A...474..653V,-5.1,2.3,2006AstL...32..759G,PM*,*|IR|NIR|PM*|UV,A1III-,2006AJ....132..161G,1.720000029,1.690000057,1.690000057,,1.629999995,1.610000014,1.549999952,1.570000052,1.539999962,,,,,,,,,,,,,,,,,,,,,,,,A,80007,45238,,3685,,,290374453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179761,,,,,,,,,,,0.07,,,0.07,,1.675658,0.179761,,0.0176111,,1.592322,,1.604245,,1.621267,,1.634047,,1.646655,1.653738,1.656876,,1.51,,1.59,,0.07,,4430A,,1974MNRAS.167..121H,,0.07,4430A,,1974MNRAS.167..121H,,,,,0.0003,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025ApJS..276...15P,0.0024,0.0003,74.4,3.1,2017MNRAS.467..873C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
948520,* eps CMa,HIP 33579|** CPO    7A|GEN# +1.00052089|TIC 63198307|* eps CMa|*  21 CMa|1AXG J065840-2857|2RE J065836-285810|2RE J0658-285|ADS  5654 A|CCDM J06586-2858A|CD-28  3666|CEL   1473|CPD-28  1586|CSI-28  3666 21|FK5  268|GC  9188|GCRV  4590|GSC 06535-03619|HD  52089|HIC  33579|HR  2618|IDS 06547-2850 A|IRC -30071|JP11  1473|MCW  492|N30 1515|PMC 90-93   192|PPM 251347|RE J065836-285811|RE J0658-285|ROT  1127|SACS 151|SAO 172676|SKY# 12435|SRS  30268|TD1  8751|TYC 6535-3619-1|UBV    6891|UBV M  12697|ALS 14800|1RXS J065837.3-285814|2EUVE J0658-28.9|EUVE J0658-28.9|RX J0658.6-2858|2MASS J06583754-2858197|2XMM J065837.5-285820|WDS J06586-2858A|uvby98 100052089|NAME Adhara|WEB  6753|IRAS 06566-2854|AKARI-IRC-V1 J0658375-285820,104.6564532,-28.97208616,1.4043148,0.96669865,90,A,2007A&A...474..653V,3.24,1.33,0.11,0.11,0.16,0.16,0,A,2007A&A...474..653V,0.14,8.05,0.14,A,0.4,2007A&A...474..653V,27.3,0.4,2006AstL...32..759G,*,*|**|IR|NIR|UV|X,B1.5II,2024A&A...690A.176N,0.360000014,1.289999962,1.5,,1.590000033,1.799999952,1.970000029,2.160000086,2.150000095,,,,,0.29,,,,,,,,,,,,0.29,,,,,,,B,52089,33579,,2618,,J06586-2858A,63198307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,0.77,,0.8,,0.05,,4430A,,1974MNRAS.167..121H,,0.05,4430A,,1974MNRAS.167..121H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3181329,* alf Hyi,CNS5 504|GJ 83|HIP 9236|Gaia DR3 4713424658275847168|TIC 355789476|2MASS J01584623-6134113|PLX  415.1|2E   508|* alf Hyi|CD-62    71|CPC 20.1   382|CPD-62   162|FK5   72|GC  2405|GCRV  1099|GEN# +1.00012311|HD  12311|HIC   9236|HR   591|IRAS 01572-6148|JP11   572|LTT  1059|N30  409|NLTT  6670|PPM 352685|ROT   283|SACS  40|SAO 248474|SKY#  2904|TD1  1161|UBV M   8601|UBV    2035|uvby98 100012311|PLX  415.10|1E 0157.2-6148|1RXS J015846.3-613410|2E 0157.2-6148|RX J015846.3-613410|TYC 8851-2027-1|WEB  1941|Gaia DR2 4713424658274227456,29.6922441,-61.56982215,0.7545,0.6966,90,A,2018yCat.1345....0G,289.561,18.43,1.549,1.549,1.278,1.278,90,A,2018yCat.1345....0G,0.8303,51.5547,0.8303,A,1.85,2018yCat.1345....0G,18.02,1.85,2023ApJS..266...11B,PM*,*|IR|NIR|PM*|UV|X,F0IV,2006AJ....132..161G,3.329999924,3.130000114,2.839999914,2.807420015,2.549999952,2.390000105,2.299999952,2.170000076,2.119999886,,,0.004079,,,,,,,,,,,,0.004079,,,,,,,,,C,12311,9236,0.44,591,,,355789476,,Gaia DR3 4713424658275847168,Gaia DR2 4713424658274227456,3.264,2517.68,199.42,108.38,3.15,45.43,0.44,,,,,263.695,0.024,27.011,0.031,25.999,1.674,-8.638,1.381,12.63,1,,,,,,,,,,,,,,0.174664,,,,,,,,,,,,2.02,0.1,,G00,1.658075,0.174664,1.6790024,0.00292855,1.5444264,1.551236,,1.571842,,1.58768,,1.604433,,1.627149,1.627149,1.63146,0.754501277,,0.696571198,,1.548907773,,1.278273676,,0.830331822,,,,,,,,29.69493935,1.6790024,-61.56973867,0.0007,1.5444264,4.9,,,,,,,,,,,,,,2.8074205,,,29.69486278,,0.754501277,,-61.56974283,0.696571198,289.5610111,1.548907773,18.42965424,1.278273676,51.55468939,0.830331822,,,2.6812317,,,,,,2025ApJS..276...15P,0.0042,0.0007,-20.8,4.9,2017MNRAS.467..873C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
676410,* eta Tau,HIP 17702|TIC 125755072|2MASS J03472908+2406184|PLX  821|Cl* Melotte   22      K      60|Cl* Melotte   22     VM      32|Cl* Melotte   22    MSH     194|Cl* Melotte   22    MSK     141|Cl* Melotte   22    TRU     414|Cl* Melotte   22    WCZ     236|[JE82]  124|* eta Tau|*  25 Tau|AG+23  323|BD+23   541|BDS  1875 A|CCDM J03474+2407A|CEL    344|EM* MWC   74|FK5  139|GC  4541|GCRV  2135|GEN# +5.20221432|GSC 01800-02202|HD  23630|HGAM    274|HIC  17702|HR  1165|IDS 03415+2348 A|IRAS 03445+2357|IRC +20063|JP11  4669|JP11  4680|N30  776|NAME Alcyone|PMC 90-93   100|PPM  92898|ROT  3785|SAO  76199|SKY#  5771|SRS  30139|TYC 1800-2202-1|UBV    3639|VDB  23|XZ   4911|[B10]   869|EPIC 200007767|[KSP2003] G166.6680-23.4550|[SCG94] O 165|[SCG94] X 180|uvby98 520221432|Cl Melotte   22  1432|ALS 15094|1E 0344.5+2357|[KSP2003] J034729.04+240619.4|WDS J03475+2406A|Cl* Melotte   22    HII    1432|** STF 4008A|** STFA    8A|WEB  3382|Gaia DR2 66714384141781760,56.8711523,24.10513565,0.39,0.25,90,A,2007A&A...474..653V,19.34,-43.67,0.39,0.39,0.33,0.33,90,A,2007A&A...474..653V,0.42,8.09,0.42,A,1.2,2007A&A...474..653V,5.4,1.2,2006AstL...32..759G,Be*,*|**|Be*|Em*|IR|NIR|PM*|UV|X,B7III,,2.440000057,2.779999971,2.869999886,2.773000002,2.839999914,2.880000114,2.940000057,2.970000029,2.940000057,,,0.0052,,,,,,,,,,,,0.0052,,,,,,,,,C,23630,17702,0.42,1165,,J03475+2406A,125755072,,,Gaia DR2 66714384141781760,1.386,3325.43,1288.79,102.36,15.61,8.09,0.42,,,,,19.838,0.04,-44.728,0.031,5.48,1.663,-1.201,1.401,2.58,0,,,,-0.581,0.391,1.03,0.33,,,,,,,0.069883,,,,,,,,,,,,5.17,0.26,,G00,0.84216,0.069883,,0.00713196,,0.809203,,0.813966,,0.820055,,0.824918,,0.829915,0.832747,0.834312,0.825135741,1.6,0.654955574,,1.538526469,,1.295760651,B,0.967620193,1974AJ.....79.1299M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.87124721,,0.825135741,,24.1049405,0.654955574,25.34289685,1.538526469,-45.93839504,1.295760651,7.968840142,0.967620193,,,2.7730389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3101814,* iot Car,HIP 45556|Gaia DR3 5300300156538723328|1RXS J091707.8-591619|TIC 386296645|PLX 2222.1|* iot Car|CD-58  2529|CEL   3256|CPC 20  2542|CPD-58  1465|CSV   6705|FK5  351|GC 12831|GCRV  6067|GEN# +1.00080404|GSC 08595-03312|HD  80404|HIC  45556|HR  3699|IRAS 09157-5903|JP11  1797|N30 2212|NSV  4444|PPM 337789|ROT  1461|SAO 236808|SKY# 17914|TD1 13795|TYC 8595-3312-1|UBV    8888|UBV M  15288|uvby98 100080404|2MASS J09170540-5916308|PLX 2222.10|NAME Aspidiske|WEB  8659,139.2725286,-59.27523203,0.09,0.09,90,A,2007A&A...474..653V,-18.86,11.98,0.09,0.09,0.09,0.09,90,A,2007A&A...474..653V,0.1,4.26,0.1,A,0.3,2007A&A...474..653V,12,0.3,2006AstL...32..759G,V*,*|IR|NIR|UV|V*|X,A7Ib,1989ApJS...70..623G,2.599999905,2.440000057,2.25999999,2.21378994,2.019999981,1.820000052,1.710000038,1.600000024,1.549999952,,,0.003852,,,,,,,,,,,,0.003852,,,,,,,,,C,80404,45556,0.1,3699,,,386296645,,Gaia DR3 5300300156538723328,,18.558,132447.41,23140.77,166.74,6.69,4.26,0.1,,,,,-18.91,0.042,12.681,0.043,3.755,1.988,-15.933,2.056,5.72,1,,,,-0.308,0.093,-0.432,0.095,,,,,,,0.194741,,,,,,,,,,,,39.62,7.92,,Pow,1.866694,0.194741,0.6138302,0.00520373,0.7455167,1.756318,,1.772287,,1.793172,,1.808498,,1.825915,1.835551,1.839556,,,,,,,,,,,,,,,,,139.2723686,0.6138302,-59.27517582,,0.7455167,,,,,,,,,,,,,,,2.213786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
794302,* bet Tau,HIP 25428|1RXS J052619.9+283621|TIC 285473140|2MASS J05261751+2836271|PLX 1231|LSPM J0526+2836|ASCC  661203|USNO-B1.0 1186-00083031|* bet Tau|* gam Aur|* 112 Tau|AG+28  516|BD+28   795|CCDM J05263+2836A|CEL    688|CSI+28   795  1|FK5  202|GC  6681|GCRV  3257|GEN# +1.00035497|GSC 01859-01470|HD  35497|HGAM    398|HIC  25428|HR  1791|IDS 05200+2831 A|IRC +30112|JP11  1072|N30 1163|NAME Elnath|PMC 90-93   145|PPM  94361|ROT   794|SAO  77168|SKY#  8655|SRS  30202|TD1  4565|TYC 1859-1470-1|UBV    3965|UBV    5151|UBV M  10935|uvby98 100035497|ALS 15829|PLX 1231.00|WDS J05263+2836A|Renson 9110|AKARI-IRC-V1 J0526175+283625|IRAS 05231+2833|WEB  4928|*  23 Aur,81.57297133,28.60745172,3.6872244,1.584148,90,A,2007A&A...474..653V,22.76,-173.58,0.42,0.42,0.18,0.18,0,A,2007A&A...474..653V,0.34,24.36,0.34,A,2,2007A&A...474..653V,9.2,2,1979IAUS...30...57E,PM*,*|**|IR|NIR|PM*|UV|X,B7III,2024A&A...690A.176N,1.029999971,1.519999981,1.649999976,,1.659999967,1.75999999,1.950000048,1.980000019,2.029999971,,,,,,,,,,,,,,,,,,,,,,,,C,35497,25428,,1791,,J05263+2836A,285473140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097303,,,,,,,,,,,0.076,,,0.076,,1.155342,0.097303,,0.071901,,1.110129,,1.116663,,1.125016,,1.131687,,1.138543,1.142428,1.144576,,1.074,,1.09,,0.076,,H,,2019ApJ...873...91G,,0.076,H,,2019ApJ...873...91G,,,,,,,,,,,,,,,0.00076,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2023ApJS..264...42W,,,,,,,,,,,0.0011,0.00076,158,21,2023ApJS..264...42W,,,,,,,,,,,RefStar,TRUE
1946342,* del Crv,HIP 60965|Gaia DR3 3520586071217872896|1RXS J122952.5-163055|TIC 297075865|PLX 2880|* del Crv|*   7 Crv|ADS  8572 A|BD-15  3482|CCDM J12299-1631A|CEL   4116|CSV 101281|FK5  465|GC 17029|GCRV  7515|GEN# +1.00108767A|HD 108767|HIC  60965|HR  4757|IDS 12247-1558 A|IRAS 12272-1614|IRAS F12272-1614|IRC -20238|JP11  2224|LTT  4742|N30 2888|NLTT 30918|NSV  5656|PMC 90-93   331|PPM 225920|ROT  1830|SACS 270|SAO 157323|SKY# 23365|SV* ZI   940|TD1 16305|UBV   11226|uvby98 100108767 A|2MASS J12295187-1630552|PLX 2880.00|WDS J12299-1631A|TYC 6103-2395-1|** SHJ  145A|NAME Algorab|WEB 10850|Gaia DR2 3520586071216143488,187.4660632,-16.51543126,0.14,0.1,90,A,2007A&A...474..653V,-209.276,-139.184,0.369,0.369,0.303,0.303,90,A,2020yCat.1350....0G,0.3996,38.06,0.3996,A,2.3,2020yCat.1350....0G,13.9,2.3,2006AstL...32..759G,PM*,*|**|IR|NIR|PM*|UV|V*|X,A0IV(n)kB9,2006AJ....132..161G,2.799999952,2.890000105,2.940000057,2.96491003,2.99000001,3.029999971,3.019999981,3.049999952,3.049999952,,,0.003846,,,,,,,,,,,,0.003846,,,,,,,,,C,108767,60965,0.16,4757,0.459,J12299-1631A,297075865,,Gaia DR3 3520586071217872896,Gaia DR2 3520586071216143488,1.427,596.8,171.95,314.43,11.42,37.55,0.16,38.103,0.459,,,-210.107,0.029,-139.283,0.017,-3.462,1.035,3.394,0.939,3.47,1,-210.094,0.012,0.009,-0.396,0.14,0.505,0.08,3.97,1,-210.089,0.009,-139.24,0.007,0.076585,0.831,0.369,0.025,0.303,1.74,0,103.4,59.42,88.27,24.27,,2.79,0.14,,G00,0.803616,0.076585,0.31095186,0.0360216,0.24235892,0.764645,0.3687315,0.77029,0.3031661,0.778088,0.39960772,0.784058,,0.789925,0.793242,0.794797,0.701809163,,0.504382125,,0.956749444,,0.867703226,,0.94487728,,,,,,,,187.4650903,0.31095186,-16.51605134,0.0004,0.24235892,5.8,-209.2762291,0.3687315,,-139.1843208,,0.3031661,38.0599818,,0.39960772,,,,,2.9649055,,3.6405041,187.4651206,,0.701809163,,-16.51603229,0.504382125,-213.5764265,0.956749444,-135.9900828,0.867703226,38.48539878,0.94487728,,,2.9830394,,,,,,2025ApJS..276...15P,0.0019,0.0004,70,5.8,2017MNRAS.467..873C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
